Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;Short description;Status;Product type
"DRJ-CLN";"en";"100";"Health Supplements///Supplements";"0.00";"1799.00";"0.000";"218";"0";"0.00";"16 Apr 2018 20:02:19";"N";"";"N";"B";"Y";"R";"";"exim/backup/images/415WO0oMlyL.jpg#{[en]:;}";"Dr Js Natural Simple Cleanse- Cleanses Colon and Liver, gradually Increases Energy Levels and supports in Healthy Weight Loss. 30 Days Supply. 100% Veg Natural Supplements.";"<div><iframe src=""https://www.youtube.com/embed/DdxzI63E-Mk"" allow=""autoplay; encrypted-media"" allowfullscreen="""" width=""100%"" height=""400"" frameborder=""0""></iframe></div><div><ul class=""bullt-points""><li><span class=""a-list-item""><span class=""a-size-base a-color-secondary"">PROMOTES LIVER HEALTH: detoxify Liver Kidney and Colon with our 30 days supply (30 capsules, 2 capsules on first day and 1 for the next 3 days). For effective results follow this regime twice monthly.</span></span></li><li><span class=""a-list-item""><span class=""a-size-base a-color-secondary"">FEEL LIGHTER: May reduce residual gut waste and toxins (along with a calorie controlled diet) and a healthy way to weight loss. Backed by Amazon’s 100% Satisfaction Guarantee, Free 30 day return, No Questions asked.</span></span></li><li><span class=""a-list-item""><span class=""a-size-base a-color-secondary"">HIGHEST ORGANIC QUALITY: Contains NO artificial preservatives or colors, gluten free, non-gmo and non-dairy. Proudly MADE IN USA</span></span></li><li><span class=""a-list-item""><span class=""a-size-base a-color-secondary"">POWERFUL ANTI-AGING FORMULA: promotes healthier skin and digestion. 100% Natural Herbal ingredients that are gentle and safe on your intestines.</span></span></li><li><span class=""a-list-item""><span class=""a-size-base a-color-secondary"">IMPROVED CARDIOVASCULAR HEALTH: Supports healthy heart function and circulatory system</span></span></li></ul></div><div><img src=""https://m.media-amazon.com/images/S/aplus-media/sota/f90a57c3-c245-4367-8a8d-857c1d8867f6._SR970,300_.jpg"" class=""width-full""></div><div class=""row1 mart-20""><div class=""product-img""><img src=""https://m.media-amazon.com/images/S/aplus-media/sota/fe37e82c-1559-4af0-a40c-c41ebf312dca._SR285,285_.jpg""><p class=""text-centre""><br><a class=""blue"" target=""_blank"" href=""https://m.media-amazon.com/images/S/aplus-media/sota/f237f3d1-1f04-4903-84ab-28f0be8269bf.jpg"">View larger</a></p></div><div class=""product-box""><table><tbody><tr><td><h3 class=""product-desc""> Simple Cleanse </h3><h4 class=""product-p-desc"">Dr. J's Natural Simple Cleanse</h4>Simple Cleanse proprietary formula consists of 5 amazing ingredients that focus on the cleansing and cleaning out your Gut and Colon. Dr Hiromi Shinya said that the way to see how healthy you are is through your Gut. Simple Cleanse formula contains Dandelion Root, Fennel Seed, Aloe Vera Leaf, Senna Leaf Extract, and Cascara Sagrada Bark Extract USP. Many of these ingredients are used for chronic constipation and bowel movement obstruction, however, Dr J and the team of Doctors carefully select the right amount in each of the five ingredients so that it will works well and it is gentle on your stomach and provides the immediate results with 1 night of taking Simple Cleanse.</td></tr></tbody></table><ul class=""product-bpoints""><li><span class=""a-list-item""><span class=""a-size-base a-color-secondary"">Cleanse out toxins and waste from the intestinal tract</span></span></li><li><span class=""a-list-item""><span class=""a-size-base a-color-secondary"">Regulate healthy bowel movement </span></span></li><li><span class=""a-list-item""><span class=""a-size-base a-color-secondary"">Decrease bloating and sluggishness</span></span></li><li><span class=""a-list-item""><span class=""a-size-base a-color-secondary"">Lose 3-5 lbs of gut waste </span></span></li><li><span class=""a-list-item""><span class=""a-size-base a-color-secondary"">Improve better gut digestion and help absorb good nutrients </span></span></li><li><span class=""a-list-item""><span class=""a-size-base a-color-secondary"">Restart your internal clean digestive system </span></span></li></ul></div><div class=""sidebar""><img src=""https://m.media-amazon.com/images/S/aplus-media/sota/5e201a73-b58b-48e6-8a18-8d1b6bf63d6a._SR230,100_.jpg""><p class=""text-centre""><a class=""blue"" target=""_blank"" rel=""noopener"" href=""https://m.media-amazon.com/images/S/aplus-media/sota/8c66c545-fdd7-4368-98bc-3c76aed98fad.jpg"">View larger</a></p><h5 class=""sidebar-title"">About Dr. J's Natural </h5><p class=""sidebar-desc"">Since 2008, Dr J and the team of doctors main goal has been to make all natural supplements that are exceptional and effective. The company primary focus is to make sure that our supplements will enhance a healthier and better life for everyone. All our ingredients are carefully selected from a reputable sources and proudly made in the USA.<br><br>All our supplements are manufactured in cGMP facilities<br><br>The company fully stands behind all our products and offers 100% money back guaranteed.</p></div></div><div class=""row1""><h3 class=""grid3"">An Amazing Cleanse For Your Colon </h3><div class=""grid-single""><p class=""grid-title""><img src=""https://m.media-amazon.com/images/S/aplus-media/sota/e6e93ef7-2a0c-4242-b0bc-24cc2f9aed2a._SL300__.jpg""><br><a class=""text-centre blue"" target=""_blank"" rel=""noopener"" href=""https://m.media-amazon.com/images/S/aplus-media/sota/b2944894-a1b2-4813-ad98-fcdcf1fba02e.jpg""><br>View larger</a></p><h4 class=""grid-h4"">Promote Colon Health </h4><p>- Colon is approximately 20-23 feet and every human carries between 5-7 pounds of gut waste.</p><p>- Simple Cleanse proprietary formula will effectively works to clean out toxins and waste in your colon immediately.</p></div><div class=""grid-single""><p class=""grid-title""><img src=""https://m.media-amazon.com/images/S/aplus-media/sota/0197781f-e6c4-4f58-b7c8-7720d2a762f6._SL300__.jpg""><br><a class=""text-centre blue"" target=""_blank"" rel=""noopener"" href=""https://m.media-amazon.com/images/S/aplus-media/sota/12a7669d-c7e0-4ed8-bce5-2fd676a332ff.jpg""><br>View larger</a></p><h4 class=""grid-h4"">Formulated with the Finest Ingredients! </h4><p>- The Best Ingredients Guaranteed!</p><p>- Effective in 1-7 days and offers 100% money back guaranteed.</p></div><div class=""grid-single""><p class=""grid-title""><img src=""https://m.media-amazon.com/images/S/aplus-media/sota/968bfdc0-e2fa-4b5d-a1a8-db8c37c9b49c._SL300__.png""><br><a class=""text-centre blue"" target=""_blank"" rel=""noopener"" href=""https://m.media-amazon.com/images/S/aplus-media/sota/a856b989-323a-4eaa-8dcb-8c613a51d53a.png""><br>View larger</a></p><h4 class=""grid-h4"">Tested, Trusted, Recommended by Doctors </h4><p>- Dr. J's goal is to make the best supplement that work.</p><p>- Dr. J's proprietary formula developed with your health in mind.</p><br></div></div><div class=""row1""><div class=""product-single""><p class=""left text-centre""><img src=""https://m.media-amazon.com/images/S/aplus-media/sota/1cef81fb-f0f2-402d-99b9-d459f3f9cb15._SR300,300_.jpg""><a class=""text-centre blue"" target=""_blank"" rel=""noopener"" href=""https://m.media-amazon.com/images/S/aplus-media/sota/e918e12b-cbd4-491a-91b9-17b3c0ed1e65.jpg"">View larger</a></p></div><div class=""prod-desc-text""><h3 class=""a-spacing-mini"">Unique Formula backed by Science With All Natural Ingredients!  </h3><p>Dr. J’s Natural proprietary formula backed by science and it delivers an immediate and effective results within 1-7 days. Each product exceeds the consumer expectations when he/she spends the money to purchase the product due to Dr. J’s commitment for superior quality and deliver great results. Dr. J’s Natural proprietary formula backed by science and it delivers an immediate and effective results within 1-7 days. Each product exceeds the consumer expectations when he/she spends the money to purchase the product due to Dr. J’s commitment for superior quality and deliver great results. Dr J’s Natural proprietary formula backed by science and it delivers an immediate and effective results within 1-7 days. Each product exceeds the consumer expectations when he/she spends the money to purchase the product due to Dr J’s commitment for superior quality and deliver great results.</p></div></div><div class=""row1""><h2 class=""prod-desc-box"">Product description</h2><div class=""prod-desc-points""><strong class=""prod-desc-text"">Unique formula backed by science with all natural ingredients dr j’s natural proprietary formula is backed by science and it delivers an immediate and effective results within 1-7 days. Every product of ours will exceed the consumer expectations, thanks to dr j’s commitment for superior quality and to deliver great results. Simple cleanse's proprietary formula consists of 5 superior ingredients that focus on the gut and colon where you will feel lighter and flatter tummy when taking the first 2 capsules on your first night. Simple cleanse formula consists of 5 amazing ingredients that focus on the cleansing and cleaning out your gut and colon. Dr hiromi shinya (the inventor of colonoscopy procedure) said that the way to see how healthy you are is through your gut. Simple cleanse formula contains dandelion root, fennel seed, aloe Vera leaf, Senna leaf extract, and cascara sagrada bark extract usp. Many of these ingredients are used for chronic constipation and bowel movement obstruction, however, dr j and the team of doctors carefully select the right amount in each of the five ingredients so that it will works well and it is gentle on your stomach and provides the immediate results within 1 night of taking simple cleanse. Since 2008, dr j and her team of doctors’ main goal has been to formulate all natural supplements that are effective and exceptional. Our company’s primary focus is to make sure that our supplements will help achieve a healthier and better life for everyone. All our ingredients are carefully selected from reputable sources and proudly made in the USA. Researched and formulated by dr j and her team of doctors. Clinically proven effective. Made with the finest ingredients (usp graded) sourced from the most reputable suppliers. Manufactured in a cgmp facility. Tested by independent third parties for final potency and efficacy. </strong><p><br></p><p class=""prod-desc-text"">When it comes to your long-term health, keeping your liver clean and working efficiently should be at the top of your list when it comes to your liver detox diet. One of the best ways to do this is with a daily dose of Dr. J's Natural Simple Detox.</p><p><br></p><p class=""prod-desc-text"">Our Simple Detox contains Milk Thistle to help detoxify and improve liver cleansing and your body overall health. This liver detox and cleanse helps promote a more balanced cardiovascular system especially if you are overweight, smoke or consume high levels of alcohol. So while helping to support your liver, kidneys and heart, it's also helping to reduce the signs of aging on the skin. If you are looking to heal your body from the inside out, look no further than a daily dose of Dr Js Simple Detox.</p><p><br></p><strong class=""prod-desc-text""> Key Features Of Our Simple Detox Include:</strong><ul><li>Helps Reduce Cholesterol Levels</li><li>Increasing Circulation</li><li>Balancing Blood Sugar - Reversing The Signs Of Aging</li><li>Improves Skin Appearance - Healing Sun Damaged Skin</li><li>Improving Digestion</li><li>Helps Increase Your Energy Levels</li></ul><br></div><strong>Natural Detox and Cleanse | Contains No Chemicals/Laxatives (unlike most drug detox products)<hr></strong></div><div class=""row1""><h2 class=""prod-desc-box"">Important-information</h2><div style=""margin-left:30px""><strong class=""imp-info-point"">Ingredients<br></strong>Dandelion Root, Fennel Seed, Aloe Vera Leaf, Senna Leaf Extract, Cascara Sagrada Bark. Gelatin Capsule, Magnesium Stearate, Silicon Dioxide.<br><br><strong class=""imp-info-point"">Directions<br></strong>Take 1 or 2 capsules the first evening followed by 1 every evening<br><br><strong class=""imp-info-point"">Directions<br></strong>Take two capsules the first night, then one per night after. Drink 8 glasses of water per day.<br><br><strong class=""imp-info-point"">Legal Disclaimer<br></strong>These Statements have not been evaluated by the Food and Drug Administration. This Product is not intended to diagnose, treat, cure or prevent any disease.<br><br><p><br>Actual product packaging and materials may contain more and different information than what is shown on our website. We recommend that you do not rely solely on the information presented and that you always read labels, warnings, and directions before using or consuming a product. Please see our full disclaimer below.</p></div></div>";"";"";"";"";"GST Tax Rule 5%";"";"";"Health Supplements";"<div id=""sw_elm_Benifits"" class=""pib-title cm-combination open""><em>♡  Benefits of Dr Js Natural Simple Cleanse</em></div><div><ul><li>PROMOTES LIVER HEALTH: detoxify Liver Kidney and Colon with our 30 days supply (30 capsules, 2 capsules on first day and 1 for the next 3 days) For effective results follow this regime twice monthly</li>    <li>FEEL LIGHTER: May reduce residual gut waste and toxins (along with a calorie controlled diet) and a healthy way to weight loss. Backed by Amazon's 100% Satisfaction Guarantee, Free 30 day return, No Questions asked</li>    <li>HIGHEST ORGANIC QUALITY: Contains NO artificial preservatives or colors, gluten free, non-gmo and non-dairy. Proudly MADE IN USA</li>    <li>POWERFUL ANTI-AGING FORMULA: promotes healthier skin and digestion. 100% Natural Herbal ingredients that are gentle and safe on your intestines</li>    <li>IMPROVED CARDIOVASCULAR HEALTH: Supports healthy heart function and circulatory system</li>    </ul></div>";"A";"P"
"";"en";"345";"Beauty";"0.00";"10132.00";"0.000";"120";"0";"0.00";"04 May 2018 19:26:18";"N";"";"N";"B";"N";"R";"";"exim/backup/images/Zoe-Purple-Front_110x110_2x.png#{[en]:;}";"ZOE™";"<p><br></p><p class=""text-center""><img src=""https://itumm.com/images/ZOE/ZOE_PURPLE_Front-Side.jpg?1526031495788""><br></p><div class=""widget_text panel-widget-style panel-widget-style-for-1760-7-0-0""><div class=""textwidget custom-html-widget""><h1 class=""product-block-header"">Every time you use Zoe, you’ll see and feel the difference</h1>        <p>Zoe’s advanced Silicone Bristles work at over 6000 pulsations per minute to gently cleanse and exfoliate the makeup, dirt, and oil that clog your pores and cause acne, while eliminating blemishes and minimizing the signs of aging. Here’s what makes Zoe unique:<br><br>● Provides complete facial and body sonic cleansing.<br>● Delivers next-level micro-firming circulation massage.<br>● Minimizes the size of pores and wrinkles.<br>● Exfoliates without irritating your skin.</p><p><img src=""https://itumm.com/images/ZOE/Zoe---BG-1--Headshot-1920x1080.jpg?1526034912004""><br></p>      </div><div class=""widget_text panel-widget-style panel-widget-style-for-1760-7-0-0""><div class=""textwidget custom-html-widget""><h1 class=""product-block-header text-center"">Here’s why you should apply your skincare products with Zoe,  instead of your fingers</h1>        <p class=""text-justify"">Think about this: whenever you apply your favorite serums, masks, and moisturizers to your face, most of your skincare products get absorbed into your fingers, and all the bacteria, dirt, and oils on your hands wind up on your face. Yikes. In addition, research now shows the amount of force you use can stretch and pull your face, and eventually damage your capillaries and break down your skin’s collagen. So Zoe’s antimicrobial silicone head smoothly applies your favorite beauty products, and its press-and-roll massaging action allows all of your skincare products to be absorbed gentler, deeper, and cleaner.</p>      </div><p><img src=""https://itumm.com/images/ZOE/ZOe.jpg""><br></p><div class=""widget_text panel-widget-style panel-widget-style-for-1760-7-0-0""><div class=""textwidget custom-html-widget""><h1 class=""product-block-header text-center"">UNVEIL YOUR SKIN’S TRUE GLOW WITH ZOE</h1><h3 class=""product-block-text"">THE FIRST AND ONLY 3-IN-1 ANTI-AGING SONIC BEAUTY BRUSH THAT CLEANSES - MASSAGES - APPLIES SKINCARE PRODUCTS</h3><p class=""text-center""><img src=""https://itumm.com/images/ZOE/Skincare-8.png?1526030288951""><br></p><p class=""text-center"">Choose your favorite color ZOE, and get the world’s first cleansing, massaging, and soothing product applying, anti-aging Sonic Beauty Device shipped in one eco-friendly box.</p></div></div></div></div><style>* {    box-sizing: border-box;}.column {    float: left;    width: 33.33%;    padding: 5px;}/* Clearfix (clear floats) */.row::after {    content: """";    clear: both;    display: table;}@media screen and (max-width: 500px) {    .column {        width: 50%;    }}</style><div class=""widget_text panel-widget-style panel-widget-style-for-1760-7-0-0""><div class=""textwidget custom-html-widget""><h1 class=""product-block-header text-center"">BUY WITH CONFIDENCE</h1><div class=""row text-justify"">  <div class=""column text-justify"">    <img src=""https://itumm.com/images/ZOE/60_day_moneyback_guarantee_360x.png?1526038501615"" alt=""HASSLE FREE RETURNS"" style=""width: 75%;"">    <p class=""text-justify"">We are confident you will love Zoe from the first use, but for some reason you are not satisfied, return your purchase and we will Refund you 100% No Questions Asked!</p>  </div>  <div class=""column text-justify"">    <img src=""https://itumm.com/images/ZOE/Free_Shipping_and_Returns_360x.png?1526037224464"" alt=""FREE SHIPPING AND FREE RETURNS"" style=""width:75%"">    <p class=""text-justify"">Free Ground Shipping and Returns on all orders within the INDIA.</p>  </div>  <div class=""column text-justify"">    <img src=""https://itumm.com/images/ZOE/1_year_Warranty_360x.png?1526037052864"" alt=""1 YEAR WARRANTY"" style=""width:75%"">    <p class=""text-justify"">1 Year Warranty on the Device and worry free exchanges</p></div></div></div></div>";"";"";"";"";"GST Tax Rule 5%";"";"(Qyksonic) Available options: R[Yellow///image=exim/backup/images/variant_image/Zoe-Yellow-Front_110x110_2x.png,Green///image=exim/backup/images/variant_image/Zoe-Green-Front_540x.png,Blue///image=exim/backup/images/variant_image/Zoe-Blue-Front_110x110_2x.png,Baby Pink///image=exim/backup/images/variant_image/Baby-Pink-Front_110x110_2x.jpg,Pink///image=exim/backup/images/variant_image/1.png,Purple///image=exim/backup/images/variant_image/Zoe-Purple-Front_110x110_2x.png]///inventory=N///missing_variants_handling=M///multiupload=N///required=N///status=A";"";"";"A";"C"
"";"en";"413";"Travel///Luggage";"0.00";"999.00";"0.000";"100";"0";"0.00";"12 Jun 2018 18:10:24";"N";"";"N";"B";"N";"R";"";"";"Venkata Qyksonic Product.";"<p>Sample product</p>";"";"";"";"";"GST Tax Rule 12%";"";"";"";"";"A";"P"
"";"en";"421";"Travel///Luggage";"0.00";"28.00";"0.000";"38";"0";"0.00";"14 Jun 2018 13:35:27";"N";"";"N";"B";"N";"R";"";"exim/backup/images/100_Natural_y49f-q3.jpg#{[en]:;}";"Admin GST 28";"<p>Sample product</p>";"";"";"";"";"GST Tax Rule 28%";"";"";"";"";"A";"P"
"";"en";"422";"Travel///Luggage";"0.00";"18.00";"0.000";"0";"0";"0.00";"14 Jun 2018 13:37:11";"N";"";"N";"B";"N";"R";"";"exim/backup/images/100_Natural_9ff0-aj.jpg#{[en]:;}";"Admin GST 18";"<p>Sample Product</p>";"";"";"";"";"GST Tax Rule 18%";"";"";"";"";"A";"P"
"";"en";"423";"Travel///Luggage";"0.00";"12.00";"0.000";"0";"0";"0.00";"14 Jun 2018 13:38:24";"N";"";"N";"B";"N";"R";"";"exim/backup/images/100_Natural_lqd5-zf.jpg#{[en]:;}";"Admin GST 12";"<p>Sample Product</p>";"";"";"";"";"GST Tax Rule 12%";"";"";"";"";"A";"P"
"";"en";"425";"Travel///Luggage";"0.00";"550.00";"0.000";"0";"1";"0.00";"14 Jun 2018 13:42:00";"N";"";"N";"B";"N";"R";"";"exim/backup/images/100_Natural_lb3h-sz.jpg#{[en]:;}";"Admin GST 03";"<p>Sample Product</p>";"";"";"";"";"GST Tax Rule 0%";"";"";"";"";"A";"P"
"";"en";"438";"Toys";"0.00";"499.00";"0.000";"30";"0";"0.00";"19 Jun 2018 10:23:43";"N";"";"N";"B";"N";"R";"";"exim/backup/images/30085770_165195397532278_123677560428036096_n.jpg#{[en]:;}";"Admin Domain.";"";"";"";"";"";"GST Tax Rule 28%";"";"";"";"";"A";"P"
